strEcu,strLabLong,strLab,numIdTstr,numIdGtwy,numSid,numDid,numDwnSamp,numBytes,numStrtBit,numLenBit,strDbc,strType,numFac,numOfs,stIntp,stUse1,stUse2,stUse3,stUse4,stRvt,numMtyLvl,strCmnt,strtByte,lenByte,strName
Fuel Cell Converter,Phase V Temperature 2 Duty [%],dcTV2,2003,2011,34,5665,,2,0,16,7|16@0,uint,163.84,0,1,1,,,,,"2,9561",,,,Mirai2
Fuel Cell Converter,Phase W Current (Offset Value) [A],curWOfs,2003,2011,34,5701,,2,0,16,7|16@0,uint,100,327.68,1,1,1,,,,"2,4433",,,,Mirai2
Fuel Cell Converter,Phase W Current [A],curW,2003,2011,34,5679,,2,0,16,7|16@0,uint,100,327.68,1,1,1,,,,"3,5864",,,,Mirai2
Fuel Cell Converter,Phase W Current AD Value [V],curWAd,2003,2011,34,5680,,2,0,12,7|12@0,uint,819.2,0,1,1,,,,,"2,5905",,,,Mirai2
Fuel Cell Converter,Phase W Duty [%],dcW,2003,2011,34,5674,,2,0,16,7|16@0,uint,163.84,0,1,1,,,,,"2,8895",,,,Mirai2
Fuel Cell Converter,Phase W Temperature 1 (Filtered Value) [°C],tW1Filt,2003,2011,34,5681,,2,0,16,7|16@0,uint,256,40,1,1,,,,,"2,789",,,,Mirai2
Fuel Cell Converter,Phase W Temperature 1 [°C],tW1,2003,2011,34,5675,,2,0,16,7|16@0,uint,256,40,1,1,1,,,,"1,8918",,,,Mirai2
Fuel Cell Converter,Phase W Temperature 1 Duty [%],dcTW1,2003,2011,34,5677,,2,0,16,7|16@0,uint,163.84,0,1,1,,,,,"2,4295",,,,Mirai2
Fuel Cell Converter,Phase W Temperature 2 [°C],tW2,2003,2011,34,5676,,2,0,16,7|16@0,uint,256,40,1,1,1,,,,"2,7835",,,,Mirai2
Fuel Cell Converter,Phase W Temperature 2 Duty [%],dcTW2,2003,2011,34,5678,,2,0,16,7|16@0,uint,163.84,0,1,1,,,,,"2,4633",,,,Mirai2
Fuel Cell Converter,Phase X Current (Offset Value) [A],curXOfs,2003,2011,34,5702,,2,0,16,7|16@0,uint,100,327.68,1,1,1,,,,"2,3301",,,,Mirai2
Fuel Cell Converter,Phase X Current [A],curX,2003,2011,34,5692,,2,0,16,7|16@0,uint,100,327.68,1,1,1,,,,"2,3504",,,,Mirai2
Fuel Cell Converter,Phase X Current AD Value [V],curXAd,2003,2011,34,5693,,2,0,12,7|12@0,uint,819.2,0,1,1,,,,,"2,5667",,,,Mirai2
Fuel Cell Converter,Phase X Duty [%],dcX,2003,2011,34,5687,,2,0,16,7|16@0,uint,163.84,0,1,1,,,,1,"0,001",,,,Mirai2
Fuel Cell Converter,Phase X Temperature 1 (Filtered Value) [°C],tX1Filt,2003,2011,34,5694,,2,0,16,7|16@0,uint,256,40,1,1,,,,,"2,5686",,,,Mirai2
Fuel Cell Converter,Phase X Temperature 1 [°C],tX1,2003,2011,34,5688,,2,0,16,7|16@0,uint,256,40,1,1,1,,,,"2,7729",,,,Mirai2
Fuel Cell Converter,Phase X Temperature 1 Duty [%],dcTX1,2003,2011,34,5690,,2,0,16,7|16@0,uint,163.84,0,1,1,,,,,"2,6927",,,,Mirai2
Fuel Cell Converter,Phase X Temperature 2 [°C],tX2,2003,2011,34,5689,,2,0,16,7|16@0,uint,256,40,1,1,1,,,,"3,2222",,,,Mirai2
Fuel Cell Converter,Phase X Temperature 2 Duty [%],dcTX2,2003,2011,34,5691,,2,0,16,7|16@0,uint,163.84,0,1,1,,,,,"3,1466",,,,Mirai2
Fuel Cell,Radiator Rotary Valve Carrying Request (WRA1),stRadRotVlvReqA1,2001,2009,34,6181,,2,15,1,10|1@0,uint,1,0,1,1,1,,,,"2,0045",,,,Mirai2
